file_name,Anorganik,B3,Organik,bungkus_makanan,HDPEM,kaca,kaleng,PET,plastic_shopping_bag,rag,aerosol_cans,battery,glass_cosmetics_containers,medicine_bottle,plastic_detergent_bottles,tablet_capsule,daun,eggshells,food_waste,kardus,kertas,tissue
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/PET/PET1,237.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/rag (2).png,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/AluCan898.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/HDPEM/HDPEM58.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_288.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_322.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/rag (284).jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_511.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/bungkus_makanan/images (163).jpeg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/PET/00000038.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass786.JPG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass801.JPG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_518.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/image_150.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/PET/PET1,234.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/bungkus_makanan/images (139).jpeg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/rag (325).jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/Image_7 (2).png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/image_553.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/PET/PET1,155.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/HDPEM/HDPEM404.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/00000354.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/00000300.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/image_99.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/HDPEM/HDPEM532.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/Image_138 (2).png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/bungkus_makanan/image_61.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_399.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass1,093.JPG",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/HDPEM/HDPEM329.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/rag (384).jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/rag/image_6.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass1,161.JPG",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass109.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/Image_129.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/bungkus_makanan/Plastic_62.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/kaleng-14-_jpg.rf.d5a32cd1ddc493f332e5f5e44644b6ee.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/Image_51 (2).png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaleng/AluCan923.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/HDPEM/HDPEM1,024.JPG",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/image_447.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/00000007.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/image_187.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/plastic_shopping_bags/image_22.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/image_248.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/PET/PET1,061.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/kaggle/input/trashcan-3/dataset-trashcan/Anorganik/kaca/Glass807.JPG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
